danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature
0.767	0.438	7	-8.726	0	0.29	0.181	0.0	0.142	0.381	86.975	audio_features	37Nqx7iavZpotJSDXZWbJ3	spotify:track:37Nqx7iavZpotJSDXZWbJ3	https://api.spotify.com/v1/tracks/37Nqx7iavZpotJSDXZWbJ3	https://api.spotify.com/v1/audio-analysis/37Nqx7iavZpotJSDXZWbJ3	221980	4
0.872	0.623	3	-3.94	0	0.0389	0.41	0.0	0.184	0.72	104.07	audio_features	3RoCi49XvcidDK7OqGw7fb	spotify:track:3RoCi49XvcidDK7OqGw7fb	https://api.spotify.com/v1/tracks/3RoCi49XvcidDK7OqGw7fb	https://api.spotify.com/v1/audio-analysis/3RoCi49XvcidDK7OqGw7fb	112614	4
0.921	0.367	9	-8.25	1	0.187	0.0815	0.0	0.0824	0.307	134.115	audio_features	21hKipgjcM6JL2mmoUKrQi	spotify:track:21hKipgjcM6JL2mmoUKrQi	https://api.spotify.com/v1/tracks/21hKipgjcM6JL2mmoUKrQi	https://api.spotify.com/v1/audio-analysis/21hKipgjcM6JL2mmoUKrQi	160587	4
0.897	0.684	1	-4.776	1	0.352	0.123	0.0	0.361	0.409	138.975	audio_features	1rjnHhnDtoboZAXJyJgzaz	spotify:track:1rjnHhnDtoboZAXJyJgzaz	https://api.spotify.com/v1/tracks/1rjnHhnDtoboZAXJyJgzaz	https://api.spotify.com/v1/audio-analysis/1rjnHhnDtoboZAXJyJgzaz	177408	4
0.657	0.496	5	-7.346	1	0.0889	0.213	0.0	0.12	0.352	146.061	audio_features	2f2WskmLwsLtGkjntD8NG7	spotify:track:2f2WskmLwsLtGkjntD8NG7	https://api.spotify.com/v1/tracks/2f2WskmLwsLtGkjntD8NG7	https://api.spotify.com/v1/audio-analysis/2f2WskmLwsLtGkjntD8NG7	157845	4
0.798	0.545	1	-6.466	1	0.168	0.00904	9.48e-05	0.258	0.212	118.029	audio_features	0WSEq9Ko4kFPt8yo3ICd6T	spotify:track:0WSEq9Ko4kFPt8yo3ICd6T	https://api.spotify.com/v1/tracks/0WSEq9Ko4kFPt8yo3ICd6T	https://api.spotify.com/v1/audio-analysis/0WSEq9Ko4kFPt8yo3ICd6T	226653	4
0.752	0.531	1	-6.236	1	0.0568	0.0534	0.0	0.124	0.2	131.97	audio_features	0HNKMJ2EKCaT2EqcCBj1EH	spotify:track:0HNKMJ2EKCaT2EqcCBj1EH	https://api.spotify.com/v1/tracks/0HNKMJ2EKCaT2EqcCBj1EH	https://api.spotify.com/v1/audio-analysis/0HNKMJ2EKCaT2EqcCBj1EH	196011	4
0.91	0.585	11	-7.572	0	0.257	0.0536	0.0	0.127	0.599	129.011	audio_features	4KDNRh9Oor80z3XIxdWlui	spotify:track:4KDNRh9Oor80z3XIxdWlui	https://api.spotify.com/v1/tracks/4KDNRh9Oor80z3XIxdWlui	https://api.spotify.com/v1/audio-analysis/4KDNRh9Oor80z3XIxdWlui	165067	4
0.587	0.561	0	-6.569	1	0.146	0.0466	0.0	0.109	0.351	80.009	audio_features	6Hfu9sc7jvv6coyy2LlzBF	spotify:track:6Hfu9sc7jvv6coyy2LlzBF	https://api.spotify.com/v1/tracks/6Hfu9sc7jvv6coyy2LlzBF	https://api.spotify.com/v1/audio-analysis/6Hfu9sc7jvv6coyy2LlzBF	243187	4
0.667	0.582	11	-5.791	0	0.267	0.00466	0.0	0.124	0.141	121.972	audio_features	0UTyLmkQgPOEIz95OVAJTR	spotify:track:0UTyLmkQgPOEIz95OVAJTR	https://api.spotify.com/v1/tracks/0UTyLmkQgPOEIz95OVAJTR	https://api.spotify.com/v1/audio-analysis/0UTyLmkQgPOEIz95OVAJTR	316733	4
0.704	0.537	0	-8.565	1	0.302	0.223	0.0	0.122	0.7	77.444	audio_features	7e7Iq9lhisbqgRwxaCVvYd	spotify:track:7e7Iq9lhisbqgRwxaCVvYd	https://api.spotify.com/v1/tracks/7e7Iq9lhisbqgRwxaCVvYd	https://api.spotify.com/v1/audio-analysis/7e7Iq9lhisbqgRwxaCVvYd	123871	4
0.571	0.767	2	-5.16	1	0.287	0.336	0.0	0.0809	0.605	93.421	audio_features	1dIWPXMX4kRHj6Dt2DStUQ	spotify:track:1dIWPXMX4kRHj6Dt2DStUQ	https://api.spotify.com/v1/tracks/1dIWPXMX4kRHj6Dt2DStUQ	https://api.spotify.com/v1/audio-analysis/1dIWPXMX4kRHj6Dt2DStUQ	161684	4
0.686	0.69	6	-6.13	0	0.24	0.122	0.0	0.137	0.528	178.157	audio_features	4wuMS7NGVbU7hdu94K5icd	spotify:track:4wuMS7NGVbU7hdu94K5icd	https://api.spotify.com/v1/tracks/4wuMS7NGVbU7hdu94K5icd	https://api.spotify.com/v1/audio-analysis/4wuMS7NGVbU7hdu94K5icd	151586	4
0.707	0.442	0	-10.395	0	0.339	0.0698	0.0	0.106	0.344	81.021	audio_features	0uqsdBw9KvD8jSWmfMmMAp	spotify:track:0uqsdBw9KvD8jSWmfMmMAp	https://api.spotify.com/v1/tracks/0uqsdBw9KvD8jSWmfMmMAp	https://api.spotify.com/v1/audio-analysis/0uqsdBw9KvD8jSWmfMmMAp	220413	4
0.723	0.516	11	-10.707	0	0.485	0.00311	1.26e-06	0.115	0.223	155.967	audio_features	52nTQQahs46s1iHFQ3Wv5Q	spotify:track:52nTQQahs46s1iHFQ3Wv5Q	https://api.spotify.com/v1/tracks/52nTQQahs46s1iHFQ3Wv5Q	https://api.spotify.com/v1/audio-analysis/52nTQQahs46s1iHFQ3Wv5Q	123077	4
0.784	0.474	8	-6.139	1	0.0524	0.333	0.0	0.278	0.64	128.012	audio_features	15qKrPi4Kg0z7g9HlwWyeb	spotify:track:15qKrPi4Kg0z7g9HlwWyeb	https://api.spotify.com/v1/tracks/15qKrPi4Kg0z7g9HlwWyeb	https://api.spotify.com/v1/audio-analysis/15qKrPi4Kg0z7g9HlwWyeb	204434	4
0.736	0.532	1	-7.151	1	0.265	0.0292	8.86e-06	0.0806	0.273	84.983	audio_features	0BFGDkrXAneskCJdudSCro	spotify:track:0BFGDkrXAneskCJdudSCro	https://api.spotify.com/v1/tracks/0BFGDkrXAneskCJdudSCro	https://api.spotify.com/v1/audio-analysis/0BFGDkrXAneskCJdudSCro	165773	4
0.824	0.782	1	-5.304	1	0.0516	0.00089	2.64e-05	0.0949	0.381	95.012	audio_features	5bjTLWk5cBOACEVPl3oqkU	spotify:track:5bjTLWk5cBOACEVPl3oqkU	https://api.spotify.com/v1/tracks/5bjTLWk5cBOACEVPl3oqkU	https://api.spotify.com/v1/audio-analysis/5bjTLWk5cBOACEVPl3oqkU	178431	4
0.704	0.779	11	-4.507	0	0.126	0.0942	0.0	0.302	0.553	119.902	audio_features	1yrg59BEI7zSxvAXRcu7YF	spotify:track:1yrg59BEI7zSxvAXRcu7YF	https://api.spotify.com/v1/tracks/1yrg59BEI7zSxvAXRcu7YF	https://api.spotify.com/v1/audio-analysis/1yrg59BEI7zSxvAXRcu7YF	132000	4
0.785	0.903	2	-4.184	1	0.21	0.258	0.0	0.169	0.565	139.98	audio_features	29TPjc8wxfz4XMn21O7VsZ	spotify:track:29TPjc8wxfz4XMn21O7VsZ	https://api.spotify.com/v1/tracks/29TPjc8wxfz4XMn21O7VsZ	https://api.spotify.com/v1/audio-analysis/29TPjc8wxfz4XMn21O7VsZ	193234	4
0.843	0.671	10	-5.708	0	0.22	0.0517	0.0	0.286	0.56	137.932	audio_features	4V5Dv8IjHNTk2YJzU9vgsW	spotify:track:4V5Dv8IjHNTk2YJzU9vgsW	https://api.spotify.com/v1/tracks/4V5Dv8IjHNTk2YJzU9vgsW	https://api.spotify.com/v1/audio-analysis/4V5Dv8IjHNTk2YJzU9vgsW	169421	4
0.975	0.482	9	-7.94	1	0.246	0.00716	0.0	0.0596	0.737	125.953	audio_features	1LJYn86ysceH708AIkw0VZ	spotify:track:1LJYn86ysceH708AIkw0VZ	https://api.spotify.com/v1/tracks/1LJYn86ysceH708AIkw0VZ	https://api.spotify.com/v1/audio-analysis/1LJYn86ysceH708AIkw0VZ	146598	4
0.935	0.807	11	-3.838	0	0.114	0.0514	0.0	0.349	0.813	106.017	audio_features	6Zu3aw7FfjAF9WA0fA81Oq	spotify:track:6Zu3aw7FfjAF9WA0fA81Oq	https://api.spotify.com/v1/tracks/6Zu3aw7FfjAF9WA0fA81Oq	https://api.spotify.com/v1/audio-analysis/6Zu3aw7FfjAF9WA0fA81Oq	173182	4
0.715	0.625	5	-5.58	1	0.152	0.225	0.0	0.103	0.588	147.97	audio_features	2CMVajzxRuxsFNzYFkzjTb	spotify:track:2CMVajzxRuxsFNzYFkzjTb	https://api.spotify.com/v1/tracks/2CMVajzxRuxsFNzYFkzjTb	https://api.spotify.com/v1/audio-analysis/2CMVajzxRuxsFNzYFkzjTb	233514	4
